speciesname,lon,lat
Microgobius gulosus,-81.0572333,29.2914333
Microgobius gulosus,-81.2944998,29.8303283
Microgobius gulosus,-81.0757966,29.3292605
Microgobius gulosus,-81.1929837,29.581474
Microgobius gulosus,-80.9392962,29.0632305
Microgobius gulosus,-81.0894045,29.350809
Microgobius gulosus,-81.120926,29.4527275
Microgobius gulosus,-81.1267447,29.4463514
Microgobius gulosus,-81.2079944,29.5862334
Microgobius gulosus,-81.047553,29.2878207
Microgobius gulosus,-81.1339405,29.4689579
Microgobius gulosus,-80.69944,28.64972
Microgobius gulosus,-80.69944,28.64972
Microgobius gulosus,-80.69944,28.64972
Microgobius gulosus,-80.69944,28.64972
Microgobius gulosus,-80.69944,28.64972
Microgobius gulosus,-81.0890833,29.3469333
Microgobius gulosus,-80.9222222,25.1486111
Microgobius gulosus,-81.6011111,30.4613889
Microgobius gulosus,-81.487222,25.956117
Microgobius gulosus,-80.921955,25.162056
Microgobius gulosus,-82.62741,27.517396
Microgobius gulosus,-80.175004,25.743422
Microgobius gulosus,-81.384302,25.841816
Microgobius gulosus,-81.823914,26.253736
Microgobius gulosus,-80.691039,28.409298
Microgobius gulosus,-80.319663,27.47437
Microgobius gulosus,-80.904325,25.244279
Microgobius gulosus,-81.365326,25.911227
Microgobius gulosus,-80.661778,28.409253
Microgobius gulosus,-81.381884,25.859954
Microgobius gulosus,-82.62741,27.517396
Microgobius gulosus,-81.486456,25.959906
Microgobius gulosus,-80.9258333,25.2033333
Microgobius gulosus,-80.9225,25.1725
Microgobius gulosus,-80.92,25.1941667
Microgobius gulosus,-81.449388,25.934851
Microgobius gulosus,-81.0083333,25.2975
Microgobius gulosus,-82.260846,26.744672
Microgobius gulosus,-80.8055556,25.2433333
Microgobius gulosus,-80.92,25.1941667
Microgobius gulosus,-82.1111111,26.6458333
Microgobius gulosus,-80.182282,25.509843
Microgobius gulosus,-81.675528,25.935082
Microgobius gulosus,-83.06611,29.095725
Microgobius gulosus,-80.645484,28.405184
Microgobius gulosus,-80.732705,28.403232
Microgobius gulosus,-81.486456,25.959906
Microgobius gulosus,-81.379874,25.838319
Microgobius gulosus,-80.65996,28.404518
Microgobius gulosus,-80.9125,25.1838889
Microgobius gulosus,-80.143975,25.749619
Microgobius gulosus,-81.748724,26.724341
Microgobius gulosus,-80.732705,28.403232
Microgobius gulosus,-80.65996,28.404518
